ID,Hotel_Name,Hotel_Address,Phone_Number,Company,Room_Number,Booking_Amount,Occupancy_Status,Booking_Date,Guest_Rating,Competitor_Price,Revenue
1,Chang-Fisher,"4759 William Haven Apt. 194
West Corey, TX 43780",815.659.3877x8408,Davis Group,"{{random_int:1,100}}",777,False,2021-06-02,1,676,777
2,Clayton-Cook,"93328 Davis Island
Rodriguezside, VT 16860",+1-583-989-4719,Stewart-Allen,"{{random_int:1,100}}",238,True,2021-01-28,1,677,238
3,"Green, Jones and Shelton","18684 Melissa Springs
Rileymouth, TN 84543",001-515-917-9533x041,"Robinson, Norton and Cook","{{random_int:1,100}}",885,True,2023-06-24,2,925,885
4,"Robinson, Montoya and Walters","USS Johnson
FPO AP 25210",+1-916-151-0903x217,Acosta Inc,"{{random_int:1,100}}",745,True,2024-11-09,4,685,745
5,Huff Inc,"6208 Williams Courts Suite 345
Masseyshire, UT 88665",022.584.1972,Ruiz Group,"{{random_int:1,100}}",971,False,2022-05-24,3,714,971
6,Price-Sandoval,"1508 Taylor Track
Bellport, MI 77869",+1-924-661-0935x2337,Page-Nunez,"{{random_int:1,100}}",945,False,2024-10-06,4,942,945
7,"Bradley, Barton and Fletcher","2787 Nicole Park
Larrymouth, MT 25142",+1-120-665-0300,"Rice, Davis and Wilson","{{random_int:1,100}}",714,True,2021-09-13,3,755,714
8,Garcia Group,"7142 Wilson Drives
Melissaton, IL 89760",855-909-7765x823,Matthews-Smith,"{{random_int:1,100}}",204,True,2023-09-17,3,858,204
9,Higgins-Morgan,"2294 Foster Plaza
West Danny, IA 06826",281-465-4611x8775,Martinez-Wilson,"{{random_int:1,100}}",559,False,2023-02-08,3,393,559
10,"Mcdaniel, Moore and Jackson","13306 Corey Point
Shanefort, OR 94139",+1-361-534-9263x51108,Goodwin-Harris,"{{random_int:1,100}}",559,False,2023-04-16,2,706,559
11,Shea and Sons,"76582 Vanessa Oval
New Richard, NE 68819",577.389.3055x5082,Morrison-Moore,"{{random_int:1,100}}",438,False,2022-07-15,4,117,438
12,Black Inc,"40752 Misty Mount
Williamhaven, AZ 75719",891-634-8967,Lawson-Hall,"{{random_int:1,100}}",935,True,2025-01-03,1,808,935
13,Turner PLC,"4466 Brown Row
East Justin, MA 07779",7627912560,"Owens, Ellis and Garcia","{{random_int:1,100}}",846,True,2020-02-15,1,662,846
14,"Anderson, Nguyen and Graves","7109 Mendez Junction
Lake Jenniferport, DC 51310",183-067-5375x1007,Santana-Duffy,"{{random_int:1,100}}",732,False,2024-05-13,2,285,732
15,Frank Ltd,"412 Snow Manors Apt. 161
South Kimtown, NV 57004",+1-607-541-5115x05520,Fuentes Inc,"{{random_int:1,100}}",660,True,2023-03-29,1,259,660
16,"Nunez, Mays and Martinez","093 Jacob Creek Suite 542
East Michaelfort, LA 73010",+1-529-118-9426x2235,"Sanchez, Fischer and Carter","{{random_int:1,100}}",479,False,2021-12-10,2,665,479
17,Long Ltd,"8629 Evans Knoll Apt. 375
South Rickychester, MD 58342",547.121.4189,"Moore, Park and Hebert","{{random_int:1,100}}",239,False,2023-06-02,4,228,239
18,Chung LLC,"USNS Kelly
FPO AP 84033",734-079-7034,Mack Ltd,"{{random_int:1,100}}",358,False,2022-06-12,2,484,358
19,"Potter, Davis and Jimenez","USCGC Ramirez
FPO AE 16338",004-689-6714x543,"Miller, Jones and Baker","{{random_int:1,100}}",596,True,2024-05-11,5,930,596
20,Macdonald and Sons,"8298 Amanda Loop Suite 447
Ashleyberg, DE 91862",669-728-4576,Woods Ltd,"{{random_int:1,100}}",563,True,2023-07-21,1,504,563
21,Thomas-Simpson,"57608 Gloria Common
Smithton, RI 00991",432-943-1675x625,Wong-Mcdaniel,"{{random_int:1,100}}",201,False,2021-06-17,5,373,201
22,Clark and Sons,"7633 Bentley Radial Apt. 603
Port Jacobton, SC 89301",(394)918-4567,Welch PLC,"{{random_int:1,100}}",731,False,2020-06-03,4,644,731
23,Henry-Padilla,"00250 Pena Dam Apt. 639
Grantbury, ID 45000",+1-191-558-7540x803,Miller-Berg,"{{random_int:1,100}}",404,True,2024-11-03,3,738,404
24,"Fitzgerald, Collins and Heath","304 Albert Park Suite 067
Alexanderland, IA 13441",001-263-791-6860x23732,Michael-Flores,"{{random_int:1,100}}",495,True,2024-10-22,3,674,495
25,"Mccormick, Dawson and Waters","443 David Tunnel Apt. 263
West Nichole, AL 97746",+1-860-164-1953,"Moran, Payne and Campbell","{{random_int:1,100}}",807,True,2023-03-04,5,364,807
26,"Murphy, Brooks and Castillo","88559 Lisa Wells
Mooreburgh, CA 18271",001-379-332-3659x92719,Fox LLC,"{{random_int:1,100}}",550,False,2021-07-16,1,275,550
27,"Delgado, Guerrero and Simpson","USCGC Payne
FPO AP 10825",296-354-6030x535,Barnett-Keller,"{{random_int:1,100}}",281,True,2021-08-06,2,362,281
28,Kelly PLC,"0700 Brady Fork
Carlton, TN 55898",(376)254-2566,Ortiz LLC,"{{random_int:1,100}}",596,False,2023-12-05,1,628,596
29,Ortiz Group,"821 Young Village
East Sonya, GA 97862",+1-821-691-9729x90456,Garrett Inc,"{{random_int:1,100}}",558,True,2021-08-30,3,737,558
30,Ellis PLC,"4760 Moreno Heights Suite 089
Sarahton, MO 95054",657-004-0494,"Gill, Farmer and Black","{{random_int:1,100}}",445,True,2022-10-10,1,629,445
31,Ballard-Hahn,"25090 Stephanie Lake Suite 457
Burkeburgh, WY 18950",001-072-507-4931,"Boyle, Ramirez and Greer","{{random_int:1,100}}",592,True,2024-08-28,2,643,592
32,David Ltd,"4440 Osborne Viaduct Suite 488
Veronicaborough, WY 57084",(082)965-7086,"Mendez, Brock and Perez","{{random_int:1,100}}",66,True,2022-02-23,2,746,66
33,Mccoy Ltd,"393 Lopez Trace
Millermouth, WA 94062",813.271.6644x659,Davis-Johnson,"{{random_int:1,100}}",61,False,2024-07-06,2,830,61
34,Hughes-Rowe,"097 Gallegos Crossroad Suite 506
Mccallberg, CO 74677",(501)318-7050x562,"Hill, Lambert and Larson","{{random_int:1,100}}",463,True,2021-03-06,1,216,463
35,Orozco Group,"808 Herring Key
North Anitaview, KS 43484",001-448-727-8209x280,Meyers-Jones,"{{random_int:1,100}}",713,False,2021-06-03,2,881,713
36,Boyd-Mckinney,"PSC 2780, Box 8185
APO AE 10985",695-975-6851,Stewart Inc,"{{random_int:1,100}}",236,False,2021-05-02,1,395,236
37,"Lee, Gutierrez and Brown","92516 Scott Rapids Suite 497
Whitemouth, KS 25469",(151)105-0269x0578,"Savage, Crawford and Miller","{{random_int:1,100}}",102,False,2020-12-09,3,78,102
38,"Black, Copeland and Miller","0284 Aaron Junction
New Heather, HI 21338",+1-395-076-0334x5235,Martin Group,"{{random_int:1,100}}",524,True,2021-01-08,2,445,524
39,"Townsend, Martin and Silva","00580 Brandon Creek
Port Eric, MS 03966",(695)325-8386x12695,Reynolds Group,"{{random_int:1,100}}",301,False,2021-10-28,2,988,301
40,Allen-Olson,"PSC 1448, Box 5809
APO AP 62701",409.561.8026,Saunders Ltd,"{{random_int:1,100}}",941,False,2020-09-24,1,780,941
41,Munoz-Martin,"94815 Thomas Knolls Suite 803
Gregoryshire, LA 50323",+1-048-606-4635x2219,Martin-Jordan,"{{random_int:1,100}}",457,False,2021-09-16,1,846,457
42,Gardner-Spencer,"30827 Yoder Road
Jennifermouth, DE 54092",001-425-858-2684x36567,"Torres, Ortiz and Sullivan","{{random_int:1,100}}",150,False,2024-11-08,2,55,150
43,"Larson, Bush and Walls","981 Barker Ridges
South Christopher, AL 15626",(751)759-4732x881,"Mccall, Jackson and Carey","{{random_int:1,100}}",919,True,2022-12-31,4,672,919
44,"Clark, Erickson and Sullivan","2790 Noble Corners
Cookhaven, NH 05626",914.878.6742x3852,Phelps-Decker,"{{random_int:1,100}}",197,False,2020-08-19,1,539,197
45,Knight-Ortiz,"14251 Dominique Centers Apt. 983
North Michelleside, WV 79370",178.551.0337x4430,Kelly-Friedman,"{{random_int:1,100}}",998,True,2023-01-01,1,362,998
46,"Henderson, Stevenson and Stuart","43754 Salazar Village
South Michaelfort, SD 93470",(564)564-1741x725,Paul LLC,"{{random_int:1,100}}",561,True,2023-11-16,4,448,561
47,Palmer-Whitney,"Unit 9936 Box 8473
DPO AA 68385",+1-017-563-6090x61435,Wilson Ltd,"{{random_int:1,100}}",422,True,2023-12-30,1,58,422
48,Nichols-Anderson,"73089 Jones Fall
East Sarah, NJ 00549",(360)940-9555x72981,Landry-Espinoza,"{{random_int:1,100}}",329,True,2024-09-22,5,840,329
49,"Taylor, Clark and Daugherty","818 Heather Mountains Apt. 877
South Amy, MT 33850",(198)537-3576x0708,Benjamin-Rowe,"{{random_int:1,100}}",279,False,2022-09-21,3,538,279
50,Thomas-Alexander,"281 Kevin Path Apt. 025
West Mollyburgh, NH 51658",+1-367-326-0583x52889,"Hamilton, Schultz and Williamson","{{random_int:1,100}}",970,False,2023-04-19,2,662,970
51,Johnson-Freeman,"300 Dennis Mills Apt. 186
Nicolemouth, TX 25685",(585)767-5712,Webster and Sons,"{{random_int:1,100}}",453,False,2024-07-27,2,963,453
52,Padilla-Smith,"968 Cynthia Skyway Apt. 874
Stephensland, PA 96246",036.954.1039x0985,Owens Inc,"{{random_int:1,100}}",657,False,2024-05-09,2,441,657
